Model,Accuracy,Precision,Recall,F1 Score
Decision Tree,0.762987012987013,0.7694799996094446,0.762987012987013,0.7661099899615755
Random Forest,0.846185064935065,0.8102972386546137,0.846185064935065,0.7768606375653799
