Model,Accuracy,Precision,Recall,F1-Score
Random Forest,0.8478084415584416,0.8384416509416509,0.8478084415584416,0.7807083556251098
XGBoost,0.8502435064935064,0.8259275696069844,0.8502435064935064,0.7917791186582661
